processed_tweets,class,neutralized_tweets
lame niggaz wait in line wait for bitches wait to create wait for someone else to do shit for them,1,lame niggaz wait in line wait for person wait to create wait for someone else to do stuff for them
got my bitch in her whip coming to pick me up,1,got my person in her whip coming to pick me up
fuckin moulinyan,1,fuckin moulinyan
them queer ass shorts rabchenko got on,0,them queer person shorts rabchenko got on
bitch and who the fuck r u am speak when the fuck i feel like it and stop a pussy ass nigga and box the fuck up,1,person and who the messing around r u am speak when the messing around i feel like it and stop a pussy person person and box the messing around up
rt if a dude seems flighty then he probably is so just nip it in the bud,1,rt if a dude seems flighty then he probably is so just nip it in the bud
the karate kid is such a pussy,1,the karate kid is such a pussy
bossd up on my old hoes,1,bossd up on my old people
i dont even need a picture of tamar that bitch is beat in every picture,1,i dont even need a picture of tamar that person is beat in every picture
rt the streets ain t going no where these hoes for everybody when you got someone real you hold on to them,1,rt the streets ain t going no where these people for everybody when you got someone real you hold on to them
thus you have the term redneck also the creator is not mocked good for you excellent precept daughter,1,thus you have the term redneck also the creator is not mocked good for you excellent precept daughter
u know u watch too much gay porn when u refer to boy butts as man ass or boy pussy bc me in my head,1,u know u watch too much gay porn when u refer to boy butts as man person or boy pussy bc me in my head
rt im a pimp tho no limp hoe,1,rt im a pimp tho no limp people
no one goes into psychiatry to help people those people are all immoral everyone who works in that field is pure trash,0,no one goes into psychiatry to help people those people are all immoral everyone who works in that field is pure trash
bitches be hating,1,person be hating
listen cuntrag whore bitch shit be expensive as fuck man we had to do pr first that one year this year was the wedding so,1,listen cuntrag whore person stuff be expensive as messing around man we had to do pr first that one year this year was the wedding so
detroit nicca but i m good in the a,1,detroit nicca but i m good in the a
big black bitches out here arguing,1,big black person out here arguing
rt im sick of bitches bitching about other bitches,1,rt im sick of person bitching about other person
rt bitch do it look like i care n o o o o o o,1,rt person do it look like i care n o o o o o o
with my bestf shyanna pen and ma main niggah ronnie a jackson iii movie bound after we pick up the homies,1,with my bestf shyanna pen and ma main person ronnie a jackson iii movie bound after we pick up the homies
rt after these shows yall bitches imitate n wonder u i say d things i say,1,rt after these shows yall person imitate n wonder u i say d things i say
damn they act like bron tore his acl toughen up bitch lol,1,damn they act like bron tore his acl toughen up person lol
rt you gotta be able to keep a bitch on her feet or she ll be on her knees with the next nigga,1,rt you gotta be able to keep a person on her feet or she ll be on her knees with the next person
taking off like a bitch bra,1,taking off like a person bra
rt on the low rt they re really looking for the next bitch to smash,1,rt on the low rt they re really looking for the next person to smash
this time a night dark skin niggas really turn into lightskin niggas i swear i seen a darkie try buying starbucks mins ago but they closed,0,this time a night dark skin person really turn into lightskin person i swear i seen a darkie try buying starbucks mins ago but they closed
rt retweets the most random shit just cause a bad bitch tweeted it,1,rt retweets the most random stuff just cause a bad person tweeted it
don t throw me the pussy let me come get it,1,don t throw me the pussy let me come get it
i love how everybody bitches about heat fans when we win but if they lose all the haters are x more obnoxious,1,i love how everybody person about heat fans when we win but if they lose all the haters are x more obnoxious
wtf u think u ole pussy ass nigga,1,what u think u ole pussy person person
uh oh rt control yo bitch if you don t want her in no shit it s that simple,1,uh oh rt control yo person if you don t want her in no stuff it s that simple
i like bitches with,1,i like person with
i tell u this tho if when u nigger women start getting cornrows again mannn just don t do it,1,i tell u this tho if when u nigger women start getting cornrows again mannn just don t do it
x x rt fat bitches with normal sized legs be looking like car keys,1,x x rt fat person with normal sized legs be looking like car keys
this niggga said i be branding bitches,1,this niggga said i be branding person
wiz lost his bitch to this nigga ain t no weed in the world strong enough to help him get over that,1,wiz lost his person to this person ain t no weed in the world strong enough to help him get over that
lls omg omg me too getting harrassed by my bby father smh on ig tlk bout hw mch he miss me bitch please,1,lls omg omg me too getting harrassed by my bby father smh on ig tlk bout hw mch he miss me person please
i donated both of my very expensive prom dresses to teens who couldn t afford to buy one don t be a selfish bitch,1,i donated both of my very expensive prom dresses to teens who couldn t afford to buy one don t be a selfish person
i got good credit so my bitch credit gotta match mine,1,i got good credit so my person credit gotta match mine
pussy,1,pussy
rt i use the word cunt very loosely,1,rt i use the word cunt very loosely
people gotta learn to appreciate the people that go out if their way to help you even if you don t want their help don t he a bitch,1,people gotta learn to appreciate the people that go out if their way to help you even if you don t want their help don t he a person
